NRIC,Name,Gender,Blood type,Disease,Age,Zipcode,BMI
T2753974M,Glenda Danielson,M,O,Pneumococcal,56,292924,30.7
S1518418V,Joann Bingaman,M,B,Malaria,51,248288,30.7
F8048882M,Jeffrey Hennessey,F,O,Smallpox,43,321519,23.7
S0439790E,Betty Montgomery,M,A,Measles,78,293009,20.5
T4943747K,Jaime Steel,F,A,HIV/ AIDS,87,311194,33.4
G1270388K,Mary Stephens,F,B,Chickenpox,89,701947,19.3
S5507456O,Paul Shephard,F,AB,Smallpox,67,474327,24.8
G2451375H,Erlinda Thomas,M,AB,Pneumococcal,24,669661,30.2
F3403628X,Amy Koontz,M,A,Chikungunya,23,497492,27.6
F0891145W,Leroy Vigor,F,O,Typhoid,61,651943,27.1
S7617413I,Jodie Beam,M,A,Measles,29,741990,18.9
T8849122X,Margaret Hall,M,A,COVID-19,54,535950,30.4
S4786528W,William Oconnor,M,B,Mumps,34,197885,29.6
S7105904H,Yolanda Ford,M,AB,HIV/ AIDS,44,424090,38.3
S9945184A,William Woody,F,AB,Food Poisoning,25,221019,30.0
G8853359X,Daniel Schull,F,A,HIV/ AIDS,45,656478,38.7
S1762579V,Tracy Slostad,M,O,Rabies,56,676674,38.0
G4197590F,Joseph Sawer,F,O,Measles,65,432613,18.6
G7422877L,James Huntley,F,B,Hepatitis,85,395985,35.4
F7283441H,Elizabeth Zurcher,F,B,Chikungunya,61,440610,38.0
S6146248L,Bobbie Burlew,M,B,Hepatitis,56,546408,37.6
G3224866U,Joyce Gaffey,F,O,Nipah,44,269030,27.3
F8218518G,Patricia Summers,F,O,Rabies,38,714341,26.3
F7857348X,Amy Ladue,F,AB,Dengue,56,222519,26.0
S2673846X,Jeffrey Lavoie,M,B,Smallpox,79,667680,25.4
T1440310K,Gail Hendren,F,B,Cholera,82,493705,19.9
S0158489T,Abraham Omura,F,A,Rubella,54,141763,34.7
T8254291L,Chad Stoffel,F,AB,Food Poisoning,37,504628,29.2
G7894312B,Lester Bond,F,O,HIV/ AIDS,52,578294,26.7
T9629693A,Caleb Halasz,F,AB,Smallpox,40,602043,38.1
T2906214U,Debra Cook,M,AB,Rabies,51,360752,30.7
T0143636B,Charles Hoffman,M,AB,Malaria,73,768520,23.8
F8828616X,Chad Wallace,M,O,Mumps,44,359533,29.6
T1025213E,Harriett Reed,F,A,Influenza,37,365034,37.8
G4081401C,Edwin Lee,F,A,Cholera,18,243971,19.3
T6521619O,Kim Alley,F,A,Cholera,30,584020,37.4
G0532911O,Thelma Blankenship,M,AB,Nipah,51,656082,24.9
G7113307Q,Bradley Chavez,M,A,Hepatitis,19,377916,30.9
T2071654N,Pauline Labrie,M,AB,Cholera,25,749490,24.8
G5766591T,Richard Drake,F,B,Nipah,53,185872,35.2
F7935876W,John Gossard,F,O,COVID-19,41,252673,35.3
S6990609Y,Jody Chupp,M,B,Chickenpox,24,410766,24.3
G4304067J,Edward Matos,M,B,Anthrax,73,328696,32.2
F8306392J,Shirley Hanks,F,O,Food Poisoning,22,546938,35.3
F2513929M,Sean Thomas,F,B,COVID-19,40,405830,23.5
T8709556K,Sharon Young,M,O,HIV/ AIDS,47,202637,27.0
T0746295I,Timothy Montes,F,O,Chickenpox,47,505104,26.9
G3374093B,Aurora Fulcher,F,O,Smallpox,28,236001,25.0
S7730365F,Stephen Magner,M,O,Typhoid,35,662353,18.6
G9227669Y,David Kerns,M,AB,COVID-19,37,194222,37.4
S0225696A,Paul King,F,O,Pneumococcal,45,421686,19.0
G9250349G,Earl Absher,M,O,Smallpox,86,328428,23.8
F7927027A,Jeffrey Mackson,M,AB,Hepatitis,28,498084,26.2
G2393461F,Lori Murphy,F,B,COVID-19,45,430460,36.4
G7894791S,Sean Mccray,M,AB,Hepatitis,65,581417,26.5
S7681660F,Johnny Benfield,M,A,HIV/ AIDS,18,117284,33.5
T8345594K,Scott Cooper,F,B,Pneumococcal,51,293417,38.7
S9991005V,Dexter Knapp,F,O,Food Poisoning,81,264910,35.7
F2574793E,Stephanie Banta,M,B,Conjunctivitis,51,587966,20.7
T3629103G,Nadia Kestler,F,A,Dengue,18,776886,20.8
S0464936X,Laura Haynes,M,AB,Nipah,75,731808,23.5
T2449513Z,Brian Mccord,F,O,HIV/ AIDS,73,583419,30.7
G0462946L,Vincent Robinson,M,O,Diphtheria,67,158566,33.8
T5026465G,Therese Barnes,F,AB,Anthrax,37,557717,21.7
S5074928F,Daryl Johnson,F,O,Malaria,24,124272,20.2
G4384147S,Laura Gallaher,F,O,Typhoid,18,105687,36.2
S7502314C,Rose Mixon,F,AB,Cholera,42,348766,38.9
F3114377Y,Wilbur Pena,F,O,HIV/ AIDS,73,514259,30.3
G0679154H,Robbie Lowe,F,A,Hepatitis,86,359809,37.8
S3478996U,Deanna Berry,F,O,Influenza,84,378702,22.3
G7149156I,Ellen Hachigian,F,AB,Anthrax,83,279825,26.2
F5427930G,Jamie Earhart,F,A,Mumps,56,286377,25.1
G3199556G,Christopher Prescott,F,AB,COVID-19,60,712232,38.4
T2678445V,Ryan Patterson,M,O,Plague,67,279891,39.0
S7548370H,Nancy Celaya,M,B,Smallpox,48,465195,37.6
S6892654W,Sandra Hubenthal,M,O,Tuberculosis,30,364151,37.4
S8705316V,Arthur Searcy,F,B,Mumps,77,531877,26.5
F8016034N,Daisy Gaskins,F,B,Cholera,76,553082,19.5
T0071646D,Carson Eichenberger,M,O,Mumps,26,703892,27.5
G7705109E,Kyle Eaton,F,AB,Nipah,87,217283,39.1
T7356304E,Lindsey Henderson,M,B,Chikungunya,24,535604,28.6
G1105348U,Jennifer Tracy,F,AB,HIV/ AIDS,48,234509,31.8
G4437325I,Felicia Willis,F,B,Chickenpox,21,674313,39.1
S7821091M,Francine Puentes,M,A,Cholera,84,147113,39.8
T3479108C,Teresa Mccurry,F,B,Measles,75,158231,20.9
T8178003K,Kim Batz,F,O,Pneumococcal,25,187029,27.9
G1391940K,Robert Splatt,M,B,Tuberculosis,57,689107,27.9
F0728994W,James Carrillo,F,O,Hepatitis,70,124735,30.4
T6609189Z,Erminia Yarber,F,O,Anthrax,50,175512,27.8
S6526215H,Sara Pellicone,F,B,Plague,61,675933,21.8
T2290751B,Harvey Fidler,M,A,Mumps,54,547478,35.0
S1691110A,Nancy Zhang,M,O,Chikungunya,27,259765,26.4
T0959759M,Jesus Wilson,M,A,Smallpox,38,754887,34.9
G5362763L,Cindy Wilkerson,F,B,Chikungunya,73,426054,37.4
T2869036O,Daniel Martorello,M,AB,Cholera,39,453700,32.1
F0711735R,Mack Wilcox,M,O,Dengue,35,702540,21.7
S2975563G,Daniel Fernando,F,O,Diphtheria,52,517143,20.0
S4686852V,Amy Duval,F,AB,Influenza,78,347905,31.3
G6212817U,Marvin Szczepanek,M,A,Diphtheria,42,283159,38.1
G1906802B,Douglas Carbo,M,B,COVID-19,28,507478,23.5
G0058003M,Michael Clines,F,B,Cholera,18,307559,31.0
F5205144I,Alicia Hall,F,O,Influenza,43,132448,34.9
S8525359Z,Lillian Arndt,M,O,COVID-19,64,548140,25.7
F8068258P,Antonio Ledon,F,B,Cholera,39,580313,29.2
T2773122V,Jessica Parker,F,A,Typhoid,38,281935,39.1
F9593841O,Jane Correa,M,B,Cholera,56,217229,19.4
S9636705Y,Wayne Haynes,M,AB,COVID-19,18,364161,23.6
G8689058O,Barbara Summers,F,O,Typhoid,76,808168,36.3
F6884549S,Violet Trower,M,AB,Smallpox,51,755546,21.4
T8809101Y,Richard Barroso,M,AB,Influenza,88,131192,31.8
S4072821E,Deborah Savage,M,AB,Measles,69,213015,36.7
S8407431Y,Rodney Campos,M,AB,Mumps,33,405087,33.9
G7559803T,Charles Sweeney,M,A,Hepatitis,31,804862,32.4
G4442654I,Jennifer Robinson,M,AB,COVID-19,28,135698,36.2
T4847362D,John Morris,M,A,Measles,78,247308,27.1
G1568007L,Julie Lara,F,A,Cholera,76,664277,37.0
S1040931Z,Edward Uzelac,F,AB,Rubella,35,351354,39.9
T1725142W,Laura Langlois,F,A,Plague,85,301850,19.9
S7814856H,Nancy Greeley,F,A,Chikungunya,43,272764,33.9
G0852951Y,James Noonan,M,AB,Malaria,33,606092,25.1
T3533959O,Danielle Waldron,F,B,Measles,64,539591,27.5
T4421778N,Tanya Powell,M,O,Anthrax,31,189902,20.2
T7136424A,Gloria Johnson,M,AB,Rabies,50,638245,31.0
F5871885W,William Mcintyre,F,AB,Anthrax,29,448085,22.5
F6236228A,David Smith,M,A,Rubella,79,612175,26.9
G2132849Y,Robert Mcbee,M,O,Diphtheria,50,612506,26.4
T6437870H,Barbara Anderson,M,B,Nipah,60,271399,39.9
T0746506J,Geraldine Smith,F,O,Chikungunya,20,260094,31.3
F6766584V,Irene Robinson,F,A,Pneumococcal,36,156651,22.2
G1988618I,Edward Bruce,F,AB,COVID-19,69,428234,23.1
F0073772J,Vincent Merchant,M,B,Typhoid,22,127364,33.1
G5277447H,Henry Ramirez,M,A,Hepatitis,57,174831,31.1
S8771746N,Jessie Avalos,M,A,Pneumococcal,18,727449,23.1
F0420392P,Mary Regan,M,A,Malaria,74,656898,28.3
T5877930Z,Louis Tufts,F,A,Diphtheria,71,156496,39.1
T6821672Y,Tabitha Placha,M,O,Hepatitis,21,115465,23.5
F7745942H,Doris Nevill,M,A,Dengue,85,191043,25.8
T4141443Y,Todd Cooks,M,AB,Mumps,42,598545,32.1
F2764166F,William Evans,M,A,Diphtheria,60,662350,29.2
G9338410T,Jackie Grundy,F,AB,Influenza,73,578105,30.2
T0032657I,Catherine Hartis,M,B,Malaria,25,506625,33.8
G4204035M,Crystal Boring,M,AB,Smallpox,40,203726,29.9
F9952747B,Mary Segura,F,O,Chikungunya,66,756232,23.4
F3117037H,Gwendolyn Marrow,F,B,Measles,74,546797,20.0
S3305933X,Paul Yoon,F,A,Rubella,43,247445,38.1
S4957735Y,Frankie Hark,F,B,Anthrax,55,126919,21.0
T4370851U,Lena Russom,M,A,Typhoid,54,287977,28.9
F2082101A,Rachel Smith,M,O,Dengue,78,782711,19.7
S1165304F,Jessica Faris,M,AB,Cholera,57,244656,32.0
G6635490U,Patricia Tompkins,F,A,Chikungunya,59,358450,23.3
F7900864X,Lynne Juarez,M,B,Chickenpox,89,432643,20.9
S2258881K,William Ezpeleta,M,AB,Typhoid,69,114450,36.0
T2903180P,Michael Chaligoj,F,AB,Cholera,23,408223,28.4
S2323507B,Joyce Gannon,F,O,Anthrax,41,683999,28.4
G5715914C,Tina Jones,F,A,HIV/ AIDS,41,522698,18.7
T5710571J,Mary Joy,F,AB,Mumps,74,657134,38.3
G0888877J,Shirley Lickliter,M,B,HIV/ AIDS,56,221412,25.2
T6672299S,Sylvia Hernandez,F,B,Food Poisoning,21,555757,35.5
S7453456Y,James Creasman,M,AB,Typhoid,47,695316,26.3
G4698877W,Lillian Chouinard,F,O,Cholera,54,401299,21.4
F7337894P,David Fimbres,F,AB,Rubella,78,197498,27.6
T6066355E,Millie Linn,F,B,Chickenpox,78,503316,20.3
G1118796E,James Greenberg,F,AB,Rubella,69,432819,32.9
T3524447G,Roger Beckman,M,B,Food Poisoning,21,698217,33.4
T8572440H,David Burns,F,AB,Diphtheria,32,774727,26.5
F0312204W,Catherine Ranallo,M,B,Anthrax,22,215603,34.5
F8747209R,Dan Ahrens,F,A,Food Poisoning,22,593452,31.4
G8567705U,Eric Dimmick,M,O,Smallpox,57,136282,28.9
T9296201D,Vernon Brown,F,B,Rabies,71,364725,20.8
F3162422F,Pam Dembitzer,M,A,Pneumococcal,47,234763,24.8
F0105326S,Devon Archie,M,B,Conjunctivitis,75,715190,26.3
G5766452E,Joanne Miller,M,AB,Plague,79,634405,37.3
T7377588O,Susan Gonzalez,F,AB,Smallpox,86,236486,28.8
T6224202R,Brian Shell,F,AB,Pneumococcal,24,466738,37.1
S4548518J,Maggie Mcbride,F,AB,Typhoid,24,480334,19.2
G9149442Z,Latasha Randall,F,B,Mumps,69,560210,35.4
